zolai,english,pos,cefr,translations,synonyms,antonyms,related,example_zo,example_en,usage_notes,sources,book_count,first_book
silicone,silicone,noun,C2,singza-setza-meel zuutza cihte bawlna aki zang datgawm namkhat | silicone,,,,,,,"Tongdot-TKD, Dongdot, Pu Thang Khan Dal",,
silicosis,"n. tuap natna., silicosis",n,C2,n. tuap natna. | silicosis | natna | suang kang vui khu dik kha a piang natna | tuap natna,,,,,,,"Tongdot-DLH, Dr. Dal Lian Haokip, Tongdot-TKD",,
silin,flesh,n,A1,flesh | inwards | water | put | eat,,,"sungah, khe, pumpi, puante, tui",a sungkua leh a khete silin,,Attested 544× across 9 Bible books.,,4,EXO
silisia,cilicia,n,C2,cilicia | city | syria | synagogue | brethren,,,"gam, khua, pai, syria, jew",Tua lai panin Syria leh Silisia gamah ka pai hi.,Afterwards I came into the regions of Syria and Cilicia;,Attested 640× across 4 Bible books.,,,
silk,"(n) nai, nai khau",n,C2,"(n) nai, nai khau",,,,Tua pen silk puan maw?,,,"Tongdot-DLH, Dr. Dal Lian Haokip, Tongdot-TKD",,
"silk
pus",nai,,C2,nai,,,,,,,Tongdot-VZT,,
silk-worm,"naai khaau ngahna lung, n. naailung; naai khaau ngahna lung.",n,C2,naai khaau ngahna lung | n. naailung; naai khaau ngahna lung. | silk-worm | naailung | naailung naai khaau ngahna lung,,,,,,,"Tongdot-DLH, Dr. Dal Lian Haokip, Dongdot",,
silken,"1, silken",adj,C2,1 | silken | naai puan tawh kibawl naaipuana kizeem naaipuan tawh kibang | adj. 1. naai puan tawh kibawl; naaipuana kizeem; 2. naaipuan tawh kibang. | nip in a nal deldel nai khau tawh a kibawl,,,,,,,"Tongdot-DLH, Dr. Dal Lian Haokip, Tongdot-TKD",,
silkhia,book,v,C2,book | blot | bitter | water | priest,,,,“Tua ciangin siampipa in laibu khat sungah hih hamsiate gelhin,,Attested 60× across 2 Bible books.,,,
silkhit,days,n,C2,days | sick | died | whom | washed,,,,silkhit uh ciangin inndei tungnungah,,Attested 90× across 2 Bible books.,,,
silkik,saith,v,C2,saith | jesus,,,,"Jesuh in, “A kipumsil khinsa mite siangthota ahih manin",,Attested 15× across 2 Bible books.,,,
silkworm,(n.) naailung; naai khaau ngahna lung,noun,C2,(n.) naailung; naai khaau ngahna lung,,,,Silkworm-te in khau phit uh hi.,,,"TongDot, Tongdot-TKD, Dongdot",,
silky,"(a) nai bang, mam dekdak",adj,C2,"(a) nai bang, mam dekdak",,,,Layla silky puantum khat khuam hi.,,,"Tongdot-DLH, Dr. Dal Lian Haokip, Tongdot-TKD",,
sill,(n.): kawm zawlpi; kawm tawlet nuai-a pai kawm zawlpi,n,C2,(n.): kawm zawlpi; kawm tawlet nuai-a pai kawm zawlpi,,,,Ivy pen tokhai (window sill) tawnin bok (kah) hi.,,,"Tongdot-DLH, Dr. Dal Lian Haokip, Tongdot-TKD",,
silla,joash,n,A2,joash | made | conspiracy | slew | house,,,,Ama nasemte kipanin sawmsimna khat vaihawm uh,,Attested 95× across 2 Bible books.,,1,2KI
sillabub,"noi khal leh zuu kihel noi khal nip, sillabub",noun,C2,noi khal leh zuu kihel noi khal nip | sillabub,,,,,,,"Tongdot-TKD, Dongdot, Pu Thang Khan Dal",,
silloin,eat,n,C2,eat | hands | disciples | bread | unwashen,,,"khut, khanglui, zuiloin, ngeina, nungzuite",(Farisi mite leh Jew mite khempeuh in khanglui ngeina zui-in,,Attested 280× across 4 Bible books.,,,
sillopi,hath,n,C2,hath | water | whomsoever | toucheth | issue,,,,"amahmah tui sungah kisilin, a nitak mateng a nin hi ding hi.",,Attested 130× across 2 Bible books.,,,
silly,"(a) haihuai, mawlhuai",adj,C2,"(a) haihuai, mawlhuai",,,,It is a silly goose that comes,,,"Tongdot-DLH, Dr. Dal Lian Haokip, Tongdot-TKD",,
silly-shally,"silly-shally, khensat theih loh in om hi",transitive verb,C2,silly-shally | khensat theih loh in om hi,,,,,,,"Tongdot-TKD, Dongdot, Pu Thang Khan Dal",,
silna,camels,n,C2,camels | feet | provender | water | wash,"kalaohte, kalaoh, hoihnono",,"pai, pia, khe, inn, tui",kalaohte-a' dingin buhkung leh gan-an pia,,Attested 157× across 4 Bible books.,,,
silngo,leaven,n,A1,unleavened | bread | flour | feast | leavened,"sawhloh, moh, mohpheng","khomun, kimu, ding","silngo sawhloh, silngo tawh kibang",Paisan kici silngo om lo khomun pawikham ding a nai zo hi.,"Now the feast of unleavened bread drew nigh, which is called the Passover.",Noun — use as subject or object; nominalize with +na for abstract form.,"Tongdot-TKD, Tongdot-DLH, Dongdot",,GEN
"silngo
tol",barm,,C2,barm,,,,,,,Tongdot-TKD,,
silngote,neither,,C1,neither | leaven | let | keep | feast,,,,,,,,1,1CO
silnngo,saying,,C1,saying | charged,,,,“Farisaite leh Herod’ silnngo kikeem un la,,,,1,MRK
silo,die,n,C2,die | men | pharaoh | himself | should,"puksi, liamsakin, sihtheihna",,"israel, zongin, vantung, nungta, ganhing","Ama-a' ding bekin kuamah nungtalo a, ama-a' ding bekin kuamah silo hi.","For none of us liveth to himself, and no man dieth to himself.",Attested 1045× across 22 Bible books.,"TongDot, Tongdot-TKD, Dongdot",,
siloam,missing,n,C1,missing | made | man | called | jesus,,,"bual, mai, pai, khua, phiat",khua mutheisa-in hong paikik hi.,,Attested 85× across 4 Bible books.,,2,LUK
siloin,land,n,C2,land | live | die | thou | send,,,"pai, kong, ciat, hang, dingun",Judah in a pa Israel kiangah,,Attested 515× across 8 Bible books.,,,
silsak,wash,v,A2,wash | hands | feet | lord | water,"khe, khete, nulsak",,"khe, simon, peter, thei, jesuh",Simon Peter' khe silsak dingin a kipat ciangin Peter in,,Attested 465× across 6 Bible books.,,2,1SA
silsakin,water,n,C2,water | basin | began | wash | disciples',,,,Tua ciangin kuangpi sung khatah tui sung,,Attested 100× across 2 Bible books.,,,
silsakte,good,n,C2,good | children | lodged | strangers | washed,,,,Tua banah a gamtat hoihna a kitheite,,Attested 155× across 2 Bible books.,,,
silsiang,cleanse,v,A2,offering | mine | jerusalem | meats | wash,,,"siangsak, mawhna, biakna, sungah, nga",Ka khialhna panin kei hong silsiang kiuhkeuh in la,,Verb — use as action word in SOV sentence: [Subject] [Object] {word} hi.,zomidictionary.app,,2CH
silsiangsak,away,v,C2,away | sins | calling | name | lord,,,,Tu-in bang ngak lai ding na hi hiam? Tho in la,,Attested 80× across 2 Bible books.,,,
silt,"(n) sehneel, buannawi",n,C2,"(n) sehneel, buannawi",,,,They are full of rapids which carry boulders and silt,,,"Tongdot-DLH, Dr. Dal Lian Haokip, Tongdot-TKD",,
siluang,bleeding,n,A1,cast | angel | filled | know | courts,,,siluang khaam nadinga vanzat khatpeuh,Mawhneilo mizawngte' sisan na puan tungah baang hi. Amaute in,,Noun — use as subject or object; nominalize with +na for abstract form.,"Tongdot-VZT, Dongdot, zomidictionary.app",,LEV
siluanghawmte,employment,n,C2,employment | passing | through | land | bury,,,,Kha sagih a cin' khit ciangin,,Attested 150× across 2 Bible books.,,,
siluangte,meat,,B1,meat | bodies | earth | fowls | heaven,,,,Sami-in tua siluangte a tawptopah vualmial khin hi.,,,,1,JER
silvan,"sylvan, see sylvan",,C2,sylvan | see sylvan,,,,,,,"Tongdot-TKD, Dongdot, Pu Thang Khan Dal",,
silvanas,jesus,n,C1,jesus | silvanus | paul | grace | god,,,,hih ding a cihte hih ding mah hi pah hi.,,Attested 80× across 2 Bible books.,,4,2CO
silver,"(n) gun, dangka sik, van leeng sik",n,C2,"(n) gun, dangka sik, van leeng sik",,,,Silver fox-te bangci om uh hiam?,,,"Tongdot-DLH, Dr. Dal Lian Haokip, Tongdot-TKD",,
silver-fish,"silver-fish, laibu ne thei ngun mel lung namkhat",noun,C2,silver-fish | laibu ne thei ngun mel lung namkhat,,,,,,,"Tongdot-TKD, Dongdot, Pu Thang Khan Dal",,
silver-jubilee,"kum 25 cin pawi khamna ngun zubili pawi, silver-jubilee",noun,C2,kum 25 cin pawi khamna ngun zubili pawi | silver-jubilee,,,,,,,"Tongdot-TKD, Dongdot, Pu Thang Khan Dal",,
silver-smith,"ngun seek mi ngun alei/zuak mi, silver-smith",noun,C2,ngun seek mi ngun alei/zuak mi | silver-smith,,,,,,,"Tongdot-TKD, Dongdot, Pu Thang Khan Dal",,
silversmith,"(n.): sumngo seek mi; sumngo tawh kizcpna zungbuh, taau, khi cihte a bawltu",,C2,"(n.): sumngo seek mi; sumngo tawh kizcpna zungbuh, taau, khi cihte a bawltu",,,,,,,"TongDot, tongdot",,
silverware,(n.): ငွေနှင့်ပြုလုပ်သည့်ဝတ္ထုပစ္စည်း,,C2,(n.): ငွေနှင့်ပြုလုပ်သည့်ဝတ္ထုပစ္စည်း,,,,Sami in silverware zial dan sinsiam hi.,,,"TongDot, tongdot",,
silvery,"silvery, ngun tawh kibang a aw a siang",adjective,C2,silvery | ngun tawh kibang a aw a siang,,,,,,,"Tongdot-TKD, Dongdot, Pu Thang Khan Dal",,
silvics,"maang tulak thu sinna, silvics",n,C2,maang tulak thu sinna | silvics | gam maang tulak thu sinna | n. gam maang tulak thu sinna.,,,,,,,"Tongdot-DLH, Dr. Dal Lian Haokip, Dongdot",,
silviculture,"maang tulak bawlna, gampalak bawlna",n,C2,maang tulak bawlna | gampalak bawlna | gam maang tulak bawlna gampalak bawlna | silviculture | n. gam maang tulak bawlna; gampalak bawlna.,,,,,,,"Tongdot-DLH, Dr. Dal Lian Haokip, Dongdot",,
sim,count,v,A1,against | saith | men | king | read,"langpangin, langkhatah, gal","leh, ding, dingin","israel, kumpipa, gam, pai, khua","“Gershon mite zong, amau’ innkuankuan leh a beh beh-in sim in,","Take also the sum of the sons of Gershon, throughout the houses of their fathers, by their families;",Verb — use as action word in SOV sentence: [Subject] [Object] {word} hi.,"Tongdot-DLH, Tongdot-VZT, Dongdot",,GEN
sima,afterward,n,C2,afterward | offered | continual | burnt | offering,,,,Tua ciangin hihte banah a tawntunga meihal biakna,,Attested 80× across 2 Bible books.,,,
simah,every,n,A1,every | off | bullock | ram | divide,,,"ciat, tuutal, pia, biakna, tau",hawm dingin minam simah makai khat na la ding hi.,,Attested 1188× across 14 Bible books.,,3,NUM
simang,thou,n,C2,thou | stout | perisheth | lack | prey,,,"khin, minam",Annek ding a mulo a thahat humpinelkai bangin amaute simang khin uh,,Attested 455× across 8 Bible books.,,,
simangg,perish,v,C2,,,,,,,,,,
simangkhin,extinct,adj,C2,,,,,,,,,,
simbeng,according,n,A2,according | mar | ark | fenced | your,"long, tehno",,"uilut, kham, note, limte",Amaute in { Topa' } Thuciamna Singkuang,,Attested 325× across 2 Bible books.,Tongdot-VZT,1,1SA
simbengte,cities,n,C2,cities | philistines | belonging | lords | both,,,,Ulian ngate' uk Filistia mite khuakulh tawh,,Attested 170× across 2 Bible books.,,,
simbu,owl,n,A1,great | owl | possess | cormorant | bittern,"keising, tuimu, vakang",,"simbu no, simbu tawh kibang","keising leh simbu, gam vatawt","The little owl, and the great owl, and the swan,",Noun — use as subject or object; nominalize with +na for abstract form.,"Tongdot-DLH, zomidictionary.app, Tongdot-TKD",,DEU
simbung,there,n,B1,there | doth | path | fowl | hawk,,,,Simbung in zong tua lampi thei ngeilo,,Attested 120× across 2 Bible books.,,1,JOB
simbupi,dwell,,B1,dwell | possess | owl | raven | stretch,,,,,,,,1,ISA
simbute,make,,B1,make | possession | bittern | pools | water,,,,Simbute zanin an zong uh hi.,,,,1,ISA
simen,cement,n,C2,,,,,Yanni in simen bual hi.,,,,,
simeon,simeon,n,A1,simeon | children | tribe | levi | sons,"jemuel, ohad, shelumiel",,"judah, tapa, levi, minamte, reuben",Simeon sung panin Zurishaddai’ tapa Shelumiel;,Of Simeon; Shelumiel the son of Zurishaddai.,Attested 4181× across 22 Bible books.,,11,GEN
simeonte,mine,,A1,mine | children | out | tribe | simeon,,,,Zohar leh Kanaan numei' tapa Shawl; hihte in Simeonte beh ahi hi.,,,,2,GEN
simgawp,day,n,A2,day | months | egypt | neither | three,,,"gam, khuapi, namsau, laitakin, israel",Ka kamsiat ni-in kei hong simgawp uh,,Attested 1770× across 26 Bible books.,,5,2SA
simgawpin,rise,n,B1,rise | right | hand | youth | push,,,,"Amaute in hong simgawpin, kei hong taikhiasak uh",,Attested 85× across 2 Bible books.,,1,JOB
simhna,onset,n,C2,,,,,,,,,,
simian,(adj.): မျောက်ကဲ့သို့သော။,adj,C2,(adj.): မျောက်ကဲ့သို့သော။,,,,,,,"Tongdot-DLH, Dr. Dal Lian Haokip, Tongdot-TKD",,
similar,"(a) kibang, akibang",adj,C2,"(a) kibang, akibang",,,,Shakespear described another similar story:,,,"Tongdot-DLH, Dr. Dal Lian Haokip, Tongdot-TKD",,
similarity,(n.): တူခြငး်။,n,C2,(n.): တူခြငး်။,,,,The phonetic similarity with its application is what it counts,,,"Tongdot-DLH, Dr. Dal Lian Haokip, Tongdot-TKD",,
similarly,"(adv) akibangin, kibangtakin",,C2,"(adv) akibangin, kibangtakin",,,,Grandparents are addressed similarly (Jamkhothang 1976:123),,,"TongDot, tongdot",,
simile,"(n) tehkaakna, na khat leh khat teh kaakna",n|noun,C2,"(n) tehkaakna, na khat leh khat teh kaakna",,,,Simile (tehkakna) pen leilam tawh kibang hi.,,,"Tongdot-DLH, Tongdot-MCPG, Dr. Dal Lian Haokip",,
similitude,(n.): တူခြင်း။ ဆင်ခြင်း။ အလားတူခြင်း။,n,C2,(n.): တူခြင်း။ ဆင်ခြင်း။ အလားတူခြင်း။,,,,,,,"Tongdot-DLH, Dr. Dal Lian Haokip, Tongdot-TKD",,
simin,every,n,A1,every | day | thou | days | against,,,"kum, zingsang, pai, judah, kumpipa",Ni simin ka khamkhop ding uh an hong pia in;,[Missing],Attested 12193× across 83 Bible books.,Dongdot,39,GEN
simitar,"simitar, Arab leh Turkey te zat temkun",noun,C2,simitar | Arab leh Turkey te zat temkun,,,,,,,"Tongdot-TKD, Dongdot, Pu Thang Khan Dal",,
simkha,door,v,C2,door | sought | lay | hand | king,,,,Tua banga a kisim ciangin,,Attested 105× across 2 Bible books.,,,
simkhawm,among,n,C2,among | children | levi | neither | take,,,,“Levi minamte na sim kei ding,,Attested 220× across 4 Bible books.,,,
simkhia,house,v,A2,house | book | prophet | day | read,,,,Siampipa Zefaniah in hih laikhak kei kiangah hong simkhia hi.,And Zephaniah the priest read this letter in the ears of Jeremiah the prophet.,Attested 260× across 4 Bible books.,,3,2KI
simkhial,misestimate,v,C2,misestimate,,,,Accountant pa'n sum a simkhial hi.,,Verb — use as action word in SOV sentence: [Subject] [Object] {word} hi.,"Tongdot-DLH, Dongdot, zomidictionary.app",,
"simkhial
tuat-khial",misestimate,,C2,misestimate,,,,,,,Tongdot-DLH,,
simkhiat,son,n,C2,son | neriah | according | jeremiah | prophet,,,,{ Topa' } biakinn sungah laizial sunga { Topa' },,Attested 80× across 2 Bible books.,,,
simkhit,closed,n,C2,closed | book | gave | again | minister,,,,laibu khupin biakinn nasempa tungah pia kikin,,Attested 80× across 2 Bible books.,,,
simkik,utterly,v,B2,utterly | perform | vows | wicked | more,,,gam,“Tua nung ciangin Egypt gam simkik leuleu ding,,Attested 215× across 4 Bible books.,,1,NAH
simkikin,come,n,C2,come | smitten | judah | carried | away,,,,Bang hang hiam cih leh Edom mite in Judah simkikin zo uh,,Attested 65× across 2 Bible books.,,,
simlo,against,n,C2,against | old | under | because | prophets,,,bangmahin,na kamsangte tu-in koi-ah om ahi uh hiam?,,Attested 200× across 8 Bible books.,,,
simloh,save,n,A1,save | gilead | over | neither | philistines,,,"dang, kuamah, omlo, cih, bangmah","“Topa longal, Pasian kua hiam? I Pasian simloh, suangpi kua hiam?","For who is God, save the",Attested 7062× across 65 Bible books.,Tongdot-DLH,8,JOS
simlohin,together,n,C2,together | there | lacked | david's | servants,,,,delhna panin Joab ciahkik hi. Amah in mi khempeuh,,Attested 110× across 2 Bible books.,,,
simloin,sons,n,C2,sons | david | these | beside | concubines,,,,Hihte pen a zineute' tapate simloin,,Attested 70× across 2 Bible books.,,,
simlut,brother,n,C2,brother | under | fifth | rib | rechab,,,,gel bangin tua ni-in khuapi sungah mite simlut uh hi.,,Attested 205× across 2 Bible books.,,,
simmatin,might,n,C2,might | take | consulted | jesus | chief,,,"thahtheihna, jesuh",kuama theihlohin Jesuh simmatin a thahtheihna ding uh a vaihawm uh hi.,"And consulted that they might take Jesus by subtilty, and kill him.",Attested 185× across 4 Bible books.,,,
simmer,(v) so; tisa so.,verb|v|transitive & intransitive verb,C2,(v) so; tisa so.,,,,,,,"Tongdot-DLH, Dr. Dal Lian Haokip, Tongdot-TKD",,
simna,enumeration,n,A1,feeble | rise | returned | lying | strong,,,"sungah, khuapi, tul, pai, dingun","migilote’ sawm simna, thusia bawlte’ vaihawmna,",Hide me from the secret counsel of the wicked; from the insurrection of the workers of iniquity:,Noun — use as subject or object; nominalize with +na for abstract form.,"Dongdot, zomidictionary.app",,DEU
simnate,secret,n,B1,secret | our | iniquities | before | sins,,,"mawhnate, koih, maitangah, mai, khialh",Nangmah in ka mawhnate uh na mai-ah na koih,,Attested 95× across 5 Bible books.,,1,PSA
simnopna,book,n,C2,book | prophet | esaias | opened | found,,,,sim dingin kamsang Isaiah Lai Siangtho bu,,Attested 95× across 2 Bible books.,,,
simnuam,heshbon,n,C2,heshbon | come | forth | flame | midst,"heshbon, kipankhia",,,a gammong dongin mualsangte zong a kangtum hi.,,Attested 175× across 2 Bible books.,,,
simon,simon,n,B2,simon | jesus | house | lord | peter,"khualpa, nasepin, savunnim",,"peter, jesuh, tapa, kici, james","Simon Piter’ nau Andru a kici ama nungzui khat in,","One of his disciples, Andrew, Simon Peter's brother, saith unto him,",Attested 5120× across 12 Bible books.,,6,MAT
simon's,tanner,n,C2,tanner | whose | house | sea | side,,,,"Tua mipa pen, tuipi gei-a teng savunnim nasepin",,Attested 90× across 2 Bible books.,,,
simony,"(n.): biakinn thilri, thianghlim thilri tivek pawl zuar le lei.",noun,C2,"(n.): biakinn thilri, thianghlim thilri tivek pawl zuar le lei.",,,,,,,"Tongdot-MCPG, Dr. Mang Cin Pau Gualnam, TongDot",,
simoom,"simoom, Arabia sehnel gamah anung sehnel huihpi",noun,C2,simoom | Arabia sehnel gamah anung sehnel huihpi,,,,,,,"Tongdot-TKD, Dongdot, Pu Thang Khan Dal",,
simp,"simper, abbrev. of simpleton",noun,C2,simper | abbrev. of simpleton,,,,,,,"Tongdot-TKD, Dongdot, Pu Thang Khan Dal",,
simpa,name,,B1,name | whose | live | saith | king,,,,Training simpa pen thadah hi.,,,,1,JER
simpai,openly,n,C2,openly | secret | brethren | gone | went,,,,din'khiat khit ciangin Jesuh zong Jerusalem-ah Buk Pawi siim dingin,,Attested 40× across 2 Bible books.,,,
simpatico,kilawm kituak,adj,C2,"kilawm kituak | adj. a dang tawh hoih taka kithutuak, kizangh khawm thei; kilawm kituak. | simpatico | a dang tawh hoih taka kithutuak kizangh khawm thei kilawm kituak | dang tawh hoih taka kithutuak, kizangh khawm thei",,,,,,,"Tongdot-DLH, Dr. Dal Lian Haokip, Dongdot",,
simper,(v.): ဟန်ဆောင်ပြုံးသည်။ တမင်ဟန်လုပ်၍ပြံုးသည်,intransitive verb,C2,(v.): ဟန်ဆောင်ပြုံးသည်။ တမင်ဟန်လုပ်၍ပြံုးသည်,,,,,,,"TongDot, Tongdot-TKD, Dongdot",,
simpha,worthy of recognition worth accounting for,,C2,worthy of recognition worth accounting for,,,,Hih na simpha khin ding ka um hi.,,,Tongdot-VZT,,
simpih,send,n,C2,send | epaphroditus | brother | companion | labour,,,,kei tawh na semkhawmin gal hong simpih,,Attested 95× across 2 Bible books.,,,
simple,"(a) baih, haksalo, mawl miilmel, adang tawh kitokzaulo",adj,C2,"(a) baih, haksalo, mawl miilmel, adang tawh kitokzaulo",,,,Sami pen simple mahmah hi.,,,"Tongdot-DLH, Dr. Dal Lian Haokip, Tongdot-TKD",,
simple-hearted,"simple-hearted, lungsim hoih",adj,C2,simple-hearted | lungsim hoih | mi lungsim hoih | adj. mi lungsim hoih.,,,,,,,"Tongdot-DLH, Dr. Dal Lian Haokip, Dongdot",,
simple-minded,"simple-minded, Simple-minded",adj,C2,simple-minded | Simple-minded | lungsim tang | adj. lungsim kawi nei lo; lungsim tang. | lungsim koi lungsim thuk a neilo a thuman,,,,,,,"Tongdot-DLH, Dr. Dal Lian Haokip, Tongdot-TKD",,
simple-ton,geen baih,n,C2,"n. mi geen baih; mi kheem baih; mi pilvaang lo, baih taka kikheem thei mi. | geen baih | simple-ton | mi geen baih mi kheem baih mi pilvaang lo baih taka kikheem thei mi | mi kheem baih",,,,,,,"Tongdot-DLH, Dr. Dal Lian Haokip, Dongdot",,
simpleton,(n) mi aa; bum ol.,noun,C2,(n) mi aa; bum ol.,,,,,,,"TongDot, Tongdot-TKD, Dongdot",,
simplichy,"(a) abaihna, haksatlohna, mawlna",,C2,"(a) abaihna, haksatlohna, mawlna",,,,,,,"TongDot, tongdot",,
simplicity,(n.): ရိုးခြင်း။ မရောမနှောခြင်း။,n,C2,(n.): ရိုးခြင်း။ မရောမနှောခြင်း။,,,,modesty leh moderation cih thute a thei nawn kei uh hi.,,,"Tongdot-DLH, Dr. Dal Lian Haokip, Tongdot-TKD",,
simplify,"(v) baihsak, amawl a bawl, nambat atuamtuam abaih a tuat khia",verb,C2,"(v) baihsak, amawl a bawl, nambat atuamtuam abaih a tuat khia",,,,,,,"Tongdot-DLH, Dr. Dal Lian Haokip, Tongdot-TKD",,
simplistic,"amuh na ah abaih ding abang, simplistic",adjective,C2,amuh na ah abaih ding abang | simplistic,,,,"Tu nai-in ""simplistic"" kici kammal pen ""simple"" tangin",,,"Tongdot-TKD, Dongdot, Pu Thang Khan Dal",,
simply,(adv.): ရိုးရိုး။ ပရိယာယ်မာယာမပါဘဲ။ ဘွင်းဘွင်း။,adv,C2,(adv.): ရိုးရိုး။ ပရိယာယ်မာယာမပါဘဲ။ ဘွင်းဘွင်း။,,,,I simply can’t do it,,,"Tongdot-DLH, Dr. Dal Lian Haokip, Tongdot-TKD",,
simsak,make,v,A1,make | day | whom | people | country,,,"gam, khua, moab, nei, kong",Egypt gam panin Israel-te hong paikhiat lai-in na simsak loh,,Attested 1080× across 10 Bible books.,,8,JOS
simsakhi,wild,v,C2,wild | hart | roebuck | fallow | deer,,,,"sakhital, sanang, simsakhi, sathak, saza, zosakhi, leh gamtuu ahi hi.","The hart, and the roebuck, and the fallow deer, and the wild goat, and the pygarg, and the wild ox, and the chamois.",Attested 75× across 2 Bible books.,,,
simsakin,king,n,C2,king | give | rewards | another | read,,,,“Letsong pen kei hong pia kei in la,,Attested 135× across 2 Bible books.,,,
simsaklo,peace,n,C2,peace | healed | hurt | daughter | people,,,,Amaute in ka mite' thuaknate thupi simsaklo uh,,Attested 95× across 2 Bible books.,,,
simsiam,grate,n,A1,grate | thereof | window | chapiters | lattice,,,"bawl, sumngo, kikalh, vang, ngen",Biakna tau-a' dingin a zawl nuai-ah,,Attested 645× across 8 Bible books.,,4,EXO
simsuk,plain,n,B1,plain | valley | rock | saith | behold,,,,Ahih hangin na simsuk ngam kei leh,,Attested 125× across 4 Bible books.,,1,JER
simtat,missing,n,B2,missing | answered | love | barnabas | dissembled,,,,Simtat loin itna lungsim om ta hen. Gitlohna mudahin gamtat,,Attested 45× across 2 Bible books.,,4,MAT
simtatin,houses,,C1,houses | sort | creep | into | lead,,,,Tua mite lakah simtatin innte sungah a lut khit uh ciangin,,,,1,2TI
simtatna,any,n,B2,any | knowing | began | without | hypocrisy,sepzia,,,Tua ahih ciangin vaihawmpi dangte leh gam ukpite in Daniel' nasepna encikin,,Attested 175× across 2 Bible books.,,4,DAN
simtatpa,missing,,B2,missing,,,,,,,,1,MAT
simtatte,missing,,B1,missing | hateth | perceived | lord | wickedness,,,,Mi simtatte in a kampi bek tawh thuhoih gen,,,,3,PRO
simte,numbered,n,A1,numbered | sent | every | secret | whether,"kisim, innkuankuanun",,"thei, zehphitna, lipkhaphuai, cihnopna",David in thukan simte sawl,,Attested 320× across 10 Bible books.,,4,NUM
simtham,make,n,A1,make | graven | abide | spies | made,,,"gam, suak, gen, kong, khuapi",mun simtham khatah omin bu in.,,Attested 1400× across 10 Bible books.,,10,DEU
simthama,secret,n,C2,secret | places | thou | mayest | know,,,,“Nangma min tawh nang a hong sampa pen Israel Pasian,,Attested 75× across 2 Bible books.,,,
simthamah,substance,n,C2,substance | hid | made | secret | curiously,"kihalkik, kipatthakna",,"mun, kibawl, laitakin, koih, guh",A thukna sung mun simthamah kei hong kikhuituahin hong kibawl laitakin,,Attested 399× across 11 Bible books.,,,
simthamin,secretly,n,A2,secretly | surely | spoken | missing | before,khihcip,,"gen, israel, sawl","En un, na inn uh mi omlo gam simthamin kinusia ding hi.",[Missing],Attested 665× across 16 Bible books.,,4,2SA
simthei,write,v,C2,write | none | other | things | what,,,,Bang hang hiam cih leh note in simthei-in,,Attested 80× across 2 Bible books.,,,
simto,forty,n,A1,forty | thou | son | kishi | seven,,,"sagih, note, lam, manawhin, kileh",“Note in Sabbath khit a zing ciang,,Attested 685× across 6 Bible books.,,3,LEV
simtu,calculator,n,C2,calculator,,,"simtatna gukk gamtatna hunlem zong, simtham takin",Tom pen a simtu hi.,,Noun — use as subject or object; nominalize with +na for abstract form.,zomidictionary.app,,
simulacrum,(n.): အသွင်တူသောအရာ။ ပုံတူ။ ရုပ်ပွားတော်။ ရုပ်တု။,noun,C2,(n.): အသွင်တူသောအရာ။ ပုံတူ။ ရုပ်ပွားတော်။ ရုပ်တု။,,,,Tua pen a thumveina simulacrum hita dingin ka lamen hi.,,,"TongDot, Tongdot-TKD, Dongdot",,
simulate,"(v) kibawlkheem, hihlohnapi banga kibawl",verb,C2,"(v) kibawlkheem, hihlohnapi banga kibawl",,,,,,,"Tongdot-DLH, Dr. Dal Lian Haokip, Tongdot-TKD",,
simulator,"kineihtu, n. kineihtu; a taktak hih banga kineihtu.",n,C2,kineihtu | n. kineihtu; a taktak hih banga kineihtu. | simulate | kineihtu a taktak hih banga kineihtu | a taktak hih banga kineihtu,,,,An amazing south African simulator game,,,"Tongdot-DLH, Dr. Dal Lian Haokip, Dongdot",,
simulcast,"simulcast, radio leh TV a hun kibanga khahkhawm, TV",verb,C2,"simulcast | radio leh TV a hun kibanga khahkhawm, TV | v. radio leh TV a hun kibanga khahkhawm, TV. a awging bangbang leh hunin radio ah zongh gingsak. | radio leh TV a hun kibanga khahkhawm TV. a awging bangbang leh hunin radio ah zongh gingsak",,,,,,,"Tongdot-DLH, Dr. Dal Lian Haokip, Dongdot",,
simultaneous,(adj) hmunkhatah a cangkhawm mi; a cangtlang mi.,adj,C2,(adj) hmunkhatah a cangkhawm mi; a cangtlang mi.,,,,"of word-tone, 94 simultaneous, I r 5.",,,"Tongdot-DLH, Dr. Dal Lian Haokip, Tongdot-TKD",,
simun,any,n,B1,any | dough | shew | priest | till,,,"tawntung, paikik, hang, cih, sung",Gamsungteng a zon' kawikawina uhah misi guh a muh simun,,Attested 615× across 8 Bible books.,,2,EZK
simutaneously,ton,,C2,ton,,,,,,,Tongdot-DLH,,
simzel,invaded,n,C2,invaded | land | coming | year | elisha,,,,Tua ciangin Elisha si a,,Attested 65× across 2 Bible books.,,,
simzo,number,v,C2,number | can | would | kings | earth,"phazah, nambat, peuhpeuhte",,"kua, phazah",Pasian a liatna a kicingin i theizo kei,,Attested 470× across 8 Bible books.,,,
simzuih,jesus,n,C2,jesus | pilate | body | jews | besought,,,,Tua ciangin Arimathea khuami Josef in Jesuh' luang,,Attested 205× across 2 Bible books.,,,
